MutY0,EcMutY,MsMutY,MsMutY_D146N_E45Q,MsMutY_AAA,RbMutY,RbMutY_D150N_E49Q,RbMutY_AAA,TtMutY,TtMutY_D147N_E46Q,TtMutY_AAA
750.00,28.00,3.00,110.00,7390.00,6.00,62.00,82.00,49.00,31.00,9.00
190.00,18.00,1.00,85.00,64.00,14.00,54.00,69.00,58.00,38.00,35.00
53.00,21.00,2.00,97.00,62.00,11.00,80.00,79.00,54.00,27.00,38.00
81.00,7.00,26.00,69.00,44.00,14.00,74.00,46.00,64.00,111.00,1000.00
450.00,13.00,5.00,70.00,108.00,6.00,54.00,36.00,44.00,38.00,49.00
53.00,28.00,6.00,89.00,88.00,8.00,57.00,34.00,38.00,960.00,183.00
51.00,22.00,3.00,74.00,91.00,6.00,24.00,68.00,80.00,21.00,62.00
228.00,16.00,15.00,84.00,123.00,3.00,41.00,44.00,78.00,122.00,307.00
65.00,34.00,7.00,63.00,93.00,14.00,35.00,55.00,69.00,273.00,15.00
100.00,31.00,8.00,104.00,95.00,8.00,39.00,139.00,42.00,227.00,48.00
1230.00,31.00,10.00,97.00,293.00,6.00,68.00,10.00,114.00,50.00,32.00
312.00,5.00,5.00,380.00,53.00,27.00,43.00,132.00,75.00,62.00,55.00
71.00,13.00,2.00,112.00,74.00,61.00,74.00,362.00,38.00,810.00,800.00
71.00,11.00,11.00,51.00,85.00,5.00,38.00,28.00,41.00,39.00,77.00
444.00,46.00,4.00,1090.00,97.00,18.00,35.00,65.00,68.00,97.00,105.00
76.00,12.00,7.00,47.00,61.00,26.00,46.00,23.00,59.00,50.00,2280.00
470.00,10.00,15.00,117.00,99.00,11.00,60.00,101.00,54.00,67.00,1070.00
278.00,13.00,8.00,33.00,1350.00,198.00,303.00,26.00,42.00,58.00,67.00
50.00,43.00,11.00,1700.00,86.00,6.00,95.00,47.00,9.00,106.00,180.00
109.00,9.00,16.00,29.00,650.00,9.00,61.00,108.00,97.00,39.00,81.00
1140.00,9.00,0.00,24.00,57.00,7.00,95.00,110.00,86.00,70.00,
158.00,21.00,10.00,47.00,73.00,19.00,89.00,52.00,62.00,115.00,
59.00,18.00,13.00,26.00,32.00,14.00,80.00,272.00,85.00,1560.00,
70.00,14.00,2.00,18.00,64.00,31.00,128.00,340.00,110.00,260.00,
70.00,19.00,2.00,54.00,25.00,22.00,5600.00,82.00,127.00,187.00,
62.00,5.00,8.00,2.00,50.00,26.00,112.00,71.00,162.00,48.00,
119.00,3.00,13.00,238.00,38.00,24.00,112.00,41.00,109.00,440.00,
60.00,19.00,1.00,51.00,41.00,12.00,115.00,75.00,125.00,34.00,
61.00,23.00,6.00,66.00,40.00,28.00,116.00,160.00,1000.00,157.00,
83.00,76.00,0.00,,51.00,24.00,98.00,81.00,10.00,66.00,
1150.00,2.00,,,2070.00,,40.00,,4.00,480.00,
430.00,119.00,,,136.00,,60.00,,7.00,326.00,
140.00,12.00,,,82.00,,35.00,,18.00,414.00,
101.00,14.00,,,51.00,,54.00,,13.00,538.00,
1140.00,22.00,,,41.00,,36.00,,43.00,254.00,
221.00,6.00,,,84.00,,87.00,,18.00,102.00,
2260.00,24.00,,,61.00,,40.00,,17.00,882.00,
1280.00,16.00,,,48.00,,37.00,,53.00,98.00,
780.00,13.00,,,91.00,,,,8.00,280.00,
95.00,6.00,,,56.00,,,,54.00,456.00,
60.00,10.00,,,,,,,40.00,28.00,
135.00,6.00,,,,,,,730.00,23.00,
72.00,4.00,,,,,,,4.00,1000.00,
580.00,17.00,,,,,,,7.00,24.00,
90.00,15.00,,,,,,,23.00,4.00,
76.00,35.00,,,,,,,63.00,8.00,
80.00,7.00,,,,,,,22.00,12.00,
68.00,81.00,,,,,,,,4.00,
63.00,26.00,,,,,,,,,
99.00,16.00,,,,,,,,,
71.00,4.00,,,,,,,,,
101.00,5.00,,,,,,,,,
278.00,20.00,,,,,,,,,
115.00,6.00,,,,,,,,,
79.00,6.00,,,,,,,,,
153.00,19.00,,,,,,,,,
45.00,4.00,,,,,,,,,
106.00,7.00,,,,,,,,,
191.00,103.00,,,,,,,,,
89.00,11.00,,,,,,,,,
59.00,15.00,,,,,,,,,
78.00,6.00,,,,,,,,,
424.00,2.00,,,,,,,,,
366.00,1.00,,,,,,,,,
67.00,4.00,,,,,,,,,
207.00,4.00,,,,,,,,,
422.00,4.00,,,,,,,,,
155.00,11.00,,,,,,,,,
187.00,4.00,,,,,,,,,
59.00,10.00,,,,,,,,,
105.00,2.00,,,,,,,,,
90.00,2.00,,,,,,,,,
149.00,10.00,,,,,,,,,
29.00,5.00,,,,,,,,,
29.00,8.00,,,,,,,,,
42.00,2.00,,,,,,,,,
53.00,6.00,,,,,,,,,
540.00,12.00,,,,,,,,,
560.00,6.00,,,,,,,,,
,22.00,,,,,,,,,
,31.00,,,,,,,,,
,2.00,,,,,,,,,
,13.00,,,,,,,,,
,8.00,,,,,,,,,
,1.00,,,,,,,,,
,20.00,,,,,,,,,
,14.00,,,,,,,,,
,10.00,,,,,,,,,
,0.00,,,,,,,,,
,0.00,,,,,,,,,
